,lyrics,label
0,아침은 너무 멀어,0
1,훌쩍 커버렸어,0
2,함께한 기억처럼,0
3,널 보는 내 마음은,0
4,어느새 여름 지나 가을,0
5,날 보고 웃었지만,0
6,내 길었던 하루,0
7,난 보고 싶어,0
8,널 좋아한다고,0
9,아침은 너무 멀어,0
10,다 아는 건 아니어도,0
11,바라던 대로,0
12,너를 상상했지,0
13,항상 닿아있던,0
14,처음 느낌 그대로 난,0
15,널 좋아한다고,0
16,아침은 너무 멀어,0
17,다 아는 건 아니어도,0
18,바라던 대로,0
19,생각이 많은 건 말이야,0
20,당연히 해야 할 일이야,0
21,나에겐 우리가 지금 1순위야,0
22,안전한 유리병을 핑계로,0
23,바람을 가둬 둔 것 같지만,0
24,기억나? 그날의 우리가,0
25,잡았던 그 손엔 말이야,0
26,설레임보다 커다란 믿음이 담겨서,0
27,난 함박웃음을 지었지만,0
28,울음이 날 것도 같았어,0
29,소중한 건 언제나 두려움이니까,0
30,문을 열면 들리던 목소리,0
31,너로 인해 변해있던 따뜻한 공기,0
32,여전히 자신 없지만 안녕히,0
33,"저기, 사라진 별의 자리",0
34,아스라이 하얀 빛,0
35,한동안은 꺼내 볼 수 있을 거야,0
36,아낌없이 반짝인 시간은,0
37,조금씩 옅어져 가더라도,0
38,너와 내 맘에 살아 숨 쉴 테니,0
39,"여긴, 서로의 끝이 아닌",0
40,새로운 길 모퉁이,0
41,익숙함에 진심을 속이지 말자,0
42,하나 둘 추억이 떠오르면,0
43,많이 많이 그리워할 거야,0
44,고마웠어요 그래도 이제는,0
45,사건의 지평선 너머로,0
46,솔직히 두렵기도 하지만,0
47,노력은 우리에게 정답이 아니라서,0
48,마지막 선물은 산뜻한 안녕,0
49,"저기, 사라진 별의 자리",0
50,아스라이 하얀 빛,0
51,한동안은 꺼내 볼 수 있을 거야,0
52,아낌없이 반짝인 시간은,0
53,조금씩 옅어져 가더라도,0
54,너와 내 맘에 살아 숨 쉴 테니,0
55,"여긴, 서로의 끝이 아닌",0
56,새로운 길 모퉁이,0
57,익숙함에 진심을 속이지 말자,0
58,하나 둘 추억이 떠오르면,0
59,많이 많이 그리워할 거야,0
60,고마웠어요 그래도 이제는,0
61,사건의 지평선 너머로,0
62,"저기, 사라진 별의 자리",0
63,아스라이 하얀 빛,0
64,한동안은 꺼내 볼 수 있을 거야,0
65,아낌없이 반짝인 시간은,0
66,조금씩 옅어져 가더라도,0
67,너와 내 맘에 살아 숨 쉴 테니,0
68,"여긴, 서로의 끝이 아닌",0
69,새로운 길 모퉁이,0
70,익숙함에 진심을 속이지 말자,0
71,하나 둘 추억이 떠오르면,0
72,많이 많이 그리워할 거야,0
73,고마웠어요 그래도 이제는,0
74,사건의 지평선 너머로,0
75,사건의 지평선 너머로,0
76,"(1,2,3,4)",0
77,너도 말해줄래,0
78,누가 내게 뭐라든,0
79,남들과는 달라 넌,0
80,날 믿어봐 한번,0
81,재미없어 어쩌지,0
82,내 지난날들은,0
83,눈 뜨면 잊는 꿈,0
84,눈을 감아,0
85,잠에 들려고 잠에 들려 해도,0
86,봐봐 여기 내 이름 써있다고,0
87,누가 내게 뭐라든,0
88,남들과는 달라 넌,0
89,날 믿어봐 한번,0
90,재미없어 어쩌지,0
91,내 지난날들은,0
92,눈 뜨면 잊는 꿈,0
93,눈을 감아,0
94,가렵지도 않아,0
95,내 뒤에 말들이 많아,0
96,무슨 말이 더 필요해,0
97,무시 마 내가 걸어온 커리어,0
98,더 높이 가줄게,0
99,내가 바랐던 세계 젤 위에,0
100,떨어져도 돼,0
101,멋대로 정하네 나란 애에 대해,0
102,뜨거운 관심은 환영,0
103,내 미랠 쓸 나의 노래,0
104,무슨 말이 더 필요해,0
105,무시 마 내가 걸어온 커리어,0
106,더 높이 가줄게,0
107,내가 바랐던 세계 젤 위에,0
108,떨어져도 돼,0
109,더 높이 가줄게,0
110,내가 바랐던 세계 젤 위에,0
111,떨어져도 돼,0
112,미안해,0
113,하나도 하나도,0
114,아무것도 미안하지가 않아서,0
115,엄마 나 힙합 관둘게,0
116,혼자서만 도태된 것 같애,0
117,다들 폭죽 터트리고 벌려 축제,0
118,진심은 전부 곡해돼,0
119,사랑은 왜곡돼,0
120,모든 게 다 쉽게 변해 플라스틱 같애,0
121,철없긴 똑같지,0
122,다 곁눈질 뿐,0
123,원리원칙에 갇힌,0
124,빈 깡통 덩어리 이리저리 굴러,0
125,온 세상을 휙 뒤집어 놓지,0
126,"""스타일 바꿔 마인드 바꿔",0
127,"이참에 챙겨 눈치도""",0
128,"""다리 떨지 말고 살 좀 빼",0
129,"동네 창피스러워""",0
130,"""어깨 힘은 좀 빼""",0
131,"""어차피 니가 뱉는 구절 전부",0
132,"힙합 아니니까 밥그릇 치워""",0
133,우리 엄마 말도 잘 안 듣던 내가,0
134,니 말은 왜?,0
135,차례대로 퇴장해 난 아냐,0
136,네 오마카세,0
137,머릿속엔 언제나,0
138,철없게 살아도,0
139,어쩌겠어,0
140,미안해,0
141,하나도 하나도,0
142,아무것도,0
143,미안하지가 않아서,0
144,잘 웃으니까 내가,0
145,참 바보 같나 봐,0
146,나에 대해서 잘 알지도 못하면서,0
147,뭐라도 되는 줄 아나 봐,0
148,하지만 그건 너의 착각,0
149,나 물어볼 게 있어,0
150,삿대질 자격 어딨어,0
151,날 가르쳐 들려 하지 마,0
152,넌 왈가왈부,0
153,할 짓 없이 그냥 말만 많구,0
154,"제발 좀 그만 나와""",0
155,"""노래도 못하면서 싱잉 하는",0
156,"복면가왕""",0
157,"""자극적이지 않아,",0
158,"괜찮아, 난 모든 일에",0
159,내 진심을 담아,0
160,내 무기는 두 귀를 닫은 채,0
161,눈치 안 보기,0
162,쉬워 보이면 너가 해봐,0
163,적당히 맞추면서 살아가,0
164,일일이 다 설명하기엔 내 입이 아파,0
165,내 앞가림하기에도 난 충분히 바빠,0
166,난 나를 속여가면서,0
167,바뀌고 싶진 않아,0
168,너 아니어도,0
169,날 사랑해 주는 사람들 많아,0
170,머릿속엔 언제나,0
171,철없게 살아도,0
172,어쩌겠어,0
173,미안해,0
174,하나도 하나도,0
175,아무것도,0
176,미안하지가 않아서,0
177,그저 나답게 살아가고픈 것뿐,0
178,내 나이 21,0
179,길 잃은 청춘이지만,0
180,그게 내 길이고,0
181,우린 반의 반쪽짜리 육체를 다듬어,0
182,당당히 날 몰아붙인,0
183,위선과 거짓 다 깔고 기립해,0
184,막연히 끄덕이고 조아리긴,0
185,죽기보다 싫으니,0
186,머릿속엔 언제나,0
187,철없게 살아도,0
188,어쩌겠어,0
189,미안해,0
190,하나도 하나도,0
191,아무것도,0
192,미안하지가 않아서,0
193,미안해,0
194,하나도 하나도,0
195,아무것도,0
196,미안하지가 않아서,0
197,사실은 오늘 너와의,0
198,만남을 정리하고 싶어,0
199,널 만날 거야 이런 날 이해해,0
200,어렵게 맘 정한 거라,0
201,네게 말할 거지만,0
202,사실 오늘 아침에,0
203,그냥 나 생각한 거야,0
204,햇살에 일어나 보니,0
205,너무나 눈부셔,0
206,모든 게 다 변한 거야,0
207,널 향한 마음도,0
208,그렇지만 널 사랑 않는 게 아냐,0
209,이제는 나를 변화시킬 테니까,0
210,너 몰래 몰래 몰래,0
211,다른 여자들과 비교 비교했지,0
212,자꾸만 깨어지는 환상 속에,0
213,혼자서 울고 있는,0
214,초라하게 갇혀버린 나를 보았어,0
215,하지만 아직까지 사랑하는 걸,0
216,그래 그렇지만 내 맘속에,0
217,너를 잊어갈 거야,0
218,머리 위로 비친,0
219,내 하늘 바라다보며,0
220,널 향한 마음을 이제는 굳혔지만,0
221,웬일인지 네게 더 다가갈수록,0
222,우린 같은 하늘 아래 서 있었지,0
223,단지 널 사랑해 이렇게 말했지,0
224,이제껏 준비했던,0
225,많은 말을 뒤로한 채,0
226,언제나 니 옆에 있을게,0
227,이렇게 약속을 하겠어,0
228,저 하늘을 바라다보며,0
229,내게 하늘이 열려있어,0
230,그래그래 너는 내 앞에 서 있고,0
231,그래 다른 연인들은 키스를 해,0
232,하지만 항상 나는,0
233,너의 뒤에 있어야만 해,0
234,이제 그만해 나도 남잔데,0
235,내 마음 너도 알고 있는 걸 알아,0
236,그래 이제 나도 지쳐서,0
237,하늘만 바라볼 수밖에,0
238,내게 하늘이 열려있어,0
239,그래그래 너는 내 앞에 서 있고,0
240,그래 다른 연인들은 키스를 해,0
241,왜 난 너의 뒤에 있어야 할까,0
242,햇살에 일어나 보니,0
243,너무나 눈부셔,0
244,모든 게 다 변한 거야,0
245,널 향한 마음도,0
246,그렇지만 널 사랑 않는 게 아냐,0
247,이제는 나를 변화시킬 테니까,0
248,머리 위로 비친,0
249,내 하늘 바라다보며,0
250,널 향한 마음을 이제는 굳혔지만,0
251,웬일인지 네게 더 다가갈수록,0
252,우린 같은 하늘 아래 서 있었지,0
253,단지 널 사랑해 이렇게 말했지,0
254,이제껏 준비했던,0
255,많은 말을 뒤로한 채,0
256,언제나 니 옆에 있을게,0
257,이렇게 약속을 하겠어,0
258,저 하늘을 바라보며,0
259,한 번 더 한 번 더 말했지,0
260,이제껏 준비했던,0
261,많은 말을 뒤로한 채,0
262,(준비했던 많은 말을 뒤로한 채,0
263,다시 널 사랑한다고 했지),0
264,언제나 니 옆에 있을게,0
265,다신 너 혼자 아냐,0
266,너의 곁엔 내가 있잖아,0
267,니가 나의 모든 걸 뺏어갔어도,0
268,모두가 내 꿈에 바리케이드를 쳐도,0
269,내가 나의 기름 더 불을 붙여줘,0
270,니가 나의 모든 걸 뺏어갔어도,0
271,모두가 내 꿈에 바리케이드를 쳐도,0
272,내가 나의 기름 더 불을 붙여줘,0
273,난생처음 섰던 무대엔,0
274,낯선 얼굴 쟤 누군데?,0
275,마이크 잡은 후엔 함,0
276,더 묻대 쟤 누구래?,0
277,끝내고 내려오는 기분이,0
278,이걸 하는 가장 큰 이유 중에,0
279,하나 앉아서 잘 봐,0
280,서있어 무대 알아봐라 그러니,0
281,날 부르니 또 오르지,0
282,"내 걸음이 밑 거름이,",0
283,좋은 버릇이 든,0
284,어린이는 돼 어른이 아닌,0
285,얼음을 목에 걸은 애,0
286,이빨을 드러낼 때야 씩,0
287,반짝 허리에 감겨있는 벨트,0
288,감쪽같은 마술은 마법이네,0
289,밤마다 반복해서 주문을 외워,0
290,삶을 원하다면 죽음을 배워,0
291,난 또 빛이 나는 길 위에,0
292,남겨져 흉터로 베여있어,0
293,어렸을 땐 행복과는 제일 멀 던 놈,0
294,내게 친구 옆에 있어도,0
295,빈자린 언제나 괴롭혀,0
296,그때의 난 어렸었네,0
297,무시에 짓눌렸기에,0
298,압박 속에 피어났네,0
299,난 원해 맨 위,0
300,그대로 더 행진,0
301,난 원해 내일엔,0
302,더 재수 없는 놈이 되길 바라,0
303,됐어 타이밍,0
304,이젠 내 형제들과 밟어,0
305,니가 나의 모든 걸 뺏어갔어도,0
306,모두가 내 꿈에 바리케이드를 쳐도,0
307,내가 나의 기름 더 불을 붙여줘,0
308,내가 나의 기름 더 불을 붙여줘,0
309,난 여기다 내 목을 걸었어,0
310,다시 예전으로 돌아갈 수 없어,0
311,힘들던 그땐 신이 미웠지만,0
312,이젠 신의 계획이 뭔지 알게 됐어,0
313,아팠던 기억들은 던져,0
314,친구 미안한데 이건 내가 먼저,0
315,챙겨가야겠어,0
316,난 아직도 갈 길이 멀어,0
317,그렇기에 난,0
318,포기 안 할 거라 말했고,0
319,넘어져도 일어나 계속,0
320,내 시작은 맨손,0
321,반찬 팔아가며,0
322,청춘 받쳐 날 키워준,0
323,값진 그녀의 행복,0
324,나 땜에 잠시 내려놨던 그 행복을,0
325,이 손자가 돌려줄게 꼭,0
326,난 내 놈들과 하나둘씩,0
327,이뤄가 점점 끝없이,0
328,우린 절대 안 져 계속 보여주지,0
329,절대 안 될 거 같던,0
330,꿈들을 이뤄 난 여기 있지,0
331,아팠던 날 들을,0
332,저 뒤로 보내고 웃자고 원 없이,0
333,바란 대로 이뤄질 거,0
334,같은 말은 못 믿어,0
335,못 믿어 이제,0
336,믿었었는데,0
337,난 간절히 바랐던,0
338,희망한테 배신당했거든,0
339,근데 절망에 추락할 때도,0
340,보여 날개를 폈던 당신의 모습,0
341,이제 내 날갯짓을 봐줘 (날 봐줘),0
342,내 아버지는 꿈꾸는 걸 멈추지,0
343,않았거든 마지막 통화를 끊고서,0
344,그렇게 세상이 무너졌어,0
345,나는 포기 안 해 아빨 너무 닮고,0
346,끝까지 대가 받아내고 말 거야,0
347,그 멀리서 나를 지켜 지켜보면 돼,0
348,그렇게 고통까지 외운 채,0
349,잃을 것도 없어 잃은 것뿐,0
350,난 다 채울래,0
351,그래 난 더 나아가야 돼,0
352,날 보는 널 위해,0
353,멈출 수 없어 잃어버린 걸,0
354,되찾을 거야 비록,0
355,니가 나의 모든 걸 뺏어갔어도,0
356,모두가 내 꿈에 바리케이드를 쳐도,0
357,내가 나의 기름 더 불을 붙여줘,0
358,내가 나의 기름 더 불을 붙여줘,0
359,어릴 때 난 어렸지,0
360,넌 기회를 또 놓쳐버렸지,0
361,난 또 목숨을 걸었지,0
362,매 순간이 난 버저비터,0
363,빛이 나니까 좀 꺼져있어,0
364,내가 먹고 나면 너희는 설거지,0
365,여전히 카니발 바뀐 건 회사,0
366,똑같이 하고픈 걸로 난 해 밥값 아니,0
367,해 차 값 아니 해 집값 아니,0
368,해 동생 밥 계산,0
369,키비형이 사주시면,0
370,스무 살이 이제 형이 되고 나니까,0
371,움직여 바삐,0
372,방해물은 다 까버려,0
373,당신 내 삶을 살아줄 거 아니면,0
374,니가 나의 모든 걸 뺏어갔어도,0
375,모두가 내 꿈에 바리케이드를 쳐도,0
376,내가 나의 기름 더 불을 붙여줘,0
377,내가 나의 기름 더 불을 붙여줘,0
378,있는 그대로의 나를 받아줘,0
379,아직 완벽하지는 않아도,0
380,내일은 당연한 게 아니라서,0
381,지금 아빠가 곁에 없더라도,0
382,눈물 닦고 어깨 펴고 다녀,0
383,항상 네 편이란 걸 잊지 마,0
384,부모님은 당했지 인종차별,0
385,얻은 것보다 잃은 게 많아서,0
386,내 랩의 가치는 달라,0
387,다 해봤어 성공이랑 죽음 빼고 난,0
388,승산은 나에게 없었잖아,0
389,밤마다 악마가 찾아와 하지만 난,0
390,이제 겁나지 않아,0
391,니가 나의 모든 걸 뺏어갔어도,0
392,모두가 내 꿈에 바리케이드를 쳐도,0
393,내가 나의 기름 더 불을 붙여줘,0
394,내가 나의 기름 더 불을 붙여줘,0
395,또 모르지 내 마음이,0
396,저 날씨처럼 바뀔지,0
397,날 나조차 다 알 수 없으니,0
398,그게 뭐가 중요하니,0
399,지금 네게 완전히,0
400,푹 빠졌단 게 중요한 거지,0
401,아마 꿈만 같겠지만,0
402,분명 꿈이 아니야,0
403,달리 설명할 수 없는,0
404,이건 사랑일 거야,0
405,방금 내가 말한 감정,0
406,감히 의심하지 마,0
407,그냥 좋다는 게 아냐,0
408,조심해 두 심장에 핀,0
409,새파란 이 불꽃이,0
410,저 태양보다 뜨거울 테니,0
411,난 저 위로 또 아래로,0
412,내 그래프는 폭이 커,0
413,두 번 세 번 피곤하게,0
414,자꾸 질문하지 마,0
415,내 장점이 뭔지 알아?,0
416,바로 솔직한 거야,0
417,방금 내가 말한 감정,0
418,감히 의심하지 마,0
419,그냥 좋다는 게 아냐,0
420,아무도 막지 못해,0
421,나를 보면 눈 깜빡할,0
422,시간 조차도 아까울 걸,0
423,드디어 만나 반가워,0
424,말투는 멍청한 듯 몸매는 섹시 섹시요,0
425,그럼 다이아 박힌 티아라 하나에,0
426,내가 퍽이나 웃게 퍽이나 웃게,0
427,뒤틀려버린 로렐라이,0
428,철학에 미친 독서광,0
429,싸가지없는,0
430,야유하는 관객들,0
431,아 별빛이 깨져버린 밤,0
432,꼴이 볼품없대도 망가진다 해도,0
433,다신 사랑받지 못한대도,0
434,아리따운 날 입고 따따랏따라,0
435,아리따운 날 입고 따따랏따라,0
436,실례합니다 여기 계신 모두,0
437,야한 작품을 기대하셨다면,0
438,환불은 저쪽 대중은 흥미 없는 정보,0
439,그 팝콘을 던져도 덤덤,0
440,행복과 반비례 평점,0
441,편견은 토할 거 같지,0
442,아 더 부끄러울 게 없는 밤,0
443,꼴이 볼품없대도 어쩌면 네게도,0
444,다신 사랑받지 못한대도,0
445,아리따운 날 입고 따따랏따라,0
446,아리따운 날 입고 따따랏따라,0
447,까고 말해,0
448,아리따운 나의 누드,0
449,아름다운 나의 누드,0
450,변태는 너야,0
451,내 맘이 보이지,0
452,한참을 쳐다봐,0
453,가까이 다가가,0
454,용기가 생겼지,0
455,이미 아는 네 눈치,0
456,고개를 돌려 천천히,0
457,여기,0
458,여기 보이니,0
459,확실하게 나로 만들겠어,0
460,꿈에서 깨워주지 마,0
461,가끔은 정말,0
462,헷갈리지만,0
463,분명한 건,0
464,널 우연히 마주친 척할래,0
465,못 본 척 지나갈래,0
466,나와 나와 걸어가 줘,0
467,지금 돌아서면,0
468,널 보면 하트가 튀어나와,0
469,내 맘은 설레이지,0
470,꿈에서 깨워주지 마,0
471,가끔은 정말,0
472,헷갈리지만,0
473,분명한 건,0
474,가끔은 정말,0
475,헷갈리지만,0
476,분명한 건,0
477,기분이 째져,0
478,잘 되면 셀럽,0
479,못 되면 평생 리셀러,0
480,나는 새삥,0
481,모든 게 다 새삥,0
482,보세 옷을 걸쳐도,0
483,헌 집 주고 새집,0
484,프리미엄이 붙어,0
485,나는 새삥,0
486,유명세를 걷어,0
487,남의 멋만 쌔비지,0
488,난 취향을 감춰 그래,0
489,내 세컨 카는 수수께끼,0
490,넘볼 수 없는 임금,0
491,다시 ’코’시국,0
492,암만 영끌해도 근본은 절대 못 사,0
493,뚜까 패고파,0
494,기분이 째져,0
495,잘 되면 셀럽,0
496,못 되면 평생 리셀러,0
497,나는 새삥,0
498,모든 게 다 새삥,0
499,보세 옷을 걸쳐도,0
500,헌 집 주고 새집,0
501,프리미엄이 붙어,0
502,아마 나는 오늘도,0
503,이유는 뻔하지 새로운 옷이,0
504,알어 니 위치는 겉만 하지 마,0
505,이제 여름이 오니까 준비해,0
506,내 목에다 채워질 아이스체인,0
507,우리 엄만 생일마다,0
508,새 가방이 생기지,0
509,신기록 갱신,0
510,우린 없어 배신,0
511,나는 매일 새신,0
512,책임을 가진 삶은 생각보다 괴로워,0
513,내 옷은 새로워,0
514,난 운전할 때마다 맨 앞이라 외로워,0
515,내 옷들은 늘 새삥,0
516,아무도 못 말려 나란 바닥노무 쉐낀,0
517,안전모를 썼던,0
518,기분이 째져,0
519,잘 되면 셀럽,0
520,못 되면 평생 리셀러,0
521,나는 새삥,0
522,모든 게 다 새삥,0
523,보세 옷을 걸쳐도,0
524,헌 집 주고 새집,0
525,프리미엄이 붙어,0
526,나는 새삥 모든 게 다 새삥,0
527,네가 참 궁금해 그건 너도 마찬가지,0
528,이거면 충분해 쫓고 쫓는 이런 놀이,0
529,참을 수 없는 이끌림과 호기심,0
530,묘한 너와 나 두고 보면 알겠지,0
531,난 그 맘을 좀 봐야겠어,0
532,서로를 비춘 밤,0
533,아름다운 까만 눈빛 더 빠져 깊이,0
534,(넌 내게로 난 네게로),0
535,마음은 이렇게 알다가도 모르지,0
536,사랑이라는 건 한순간에 필 테니,0
537,직접 들어와 두 눈으로 확인해,0
538,내 맘 가장 깊은 데로 오면 돼,0
539,원하면 감히 뛰어들어,0
540,서로를 비춘 밤,0
541,아름다운 까만 눈빛 더 빠져 깊이,0
542,(넌 내게로 난 네게로),0
543,الأ هو لا دان,0
544,الأ هو لا دان,0
545,الأ هو لا دان,0
546,الأ هو لا دان,0
547,الأ هو لا دان,0
548,الأ هو لا دان,0
549,الأ هو لا دان,0
550,الأ هو لا دان,0
551,الأ هو لا دان,0
552,الأ هو لا دان,0
553,الأ هو لا دان,0
554,الأ هو لا دان,0
555,الأ هو لا دان,0
556,الأ هو لا دان,0
557,الأ هو لا دان,0
558,الأ هو لا دان,0
559,다 잊었다는 거짓말,0
560,또 해 버렸죠,0
561,내 마음에 그대란 사람,0
562,없다고 했죠,0
563,너무나 쉽게 잊혀졌다고,0
564,이젠 남이라고,0
565,서툰 내 사랑에 지쳐 떠난 그대,0
566,너무 많이 울려서,0
567,잡을 용기조차 낼 수 없었죠,0
568,미안해요 내 사랑아,0
569,다신 나 같은 사람 만나지 마요,0
570,혹시 찾아가도 두 번 다시,0
571,나를 허락해 주지 마요,0
572,그댄 여리고 너무 착해서,0
573,싫단 말도 잘 못하는데,0
574,많이 부족한 나를 사랑한 그대,0
575,이거면 됐어요 더 이상은,0
576,그대 불행하지 않도록,0
577,나 이쯤에서 없어지는 게,0
578,그댈 위한 나의 사랑인 걸요,0
579,너무 투명해서 때론 불안했죠,0
580,제멋대로 살아온 나를,0
581,감당할 수 없을 것 같죠,0
582,미안해요 내 사랑아,0
583,다신 나 같은 사람 만나지 마요,0
584,혹시 찾아가도 두 번 다시,0
585,나를 허락해 주지 마요,0
586,그댄 여리고 너무 착해서,0
587,싫단 말도 잘 못하는데,0
588,고마웠어요 나를 사랑해 줘서,0
589,나 같은 사람이 두 번 다시,0
590,감히 받을 수 없는 사랑,0
591,그대 때문에 행복했어요,0
592,울지 마요 그대,0
593,잘 생각해 봐요,0
594,나쁜 일들만 가득했던 우리,0
595,다 잊어야 해요,0
596,다신 나 같은 사람 만나지 마요,0
597,혹시 찾아가도 두 번 다시,0
598,나를 허락해 주지 마요,0
599,그댄 여리고 너무 착해서,0
600,싫단 말도 잘 못하는데,0
601,많이 부족한 나를 사랑한 그대,0
602,이거면 됐어요,0
603,더 이상은 그대 불행하지 않도록,0
604,나 이쯤에서 없어지는 게,0
605,그댈 위한 나의 사랑인 걸요,0
606,컴백이 아냐 떠난 적 없으니까,0
607,고개들이 돌아 진정해 목 꺾일라,0
608,게임이 아냐 진 적이 없으니까,0
609,짖어봐 네 목에 목줄은 내 거니까,0
610,네 다음 답안지야 똑바로 봐,0
611,유엔빌리지에서 한강진역,0
612,이태원을 지나왔어 언덕길로,0
613,클랙슨은 목이 쉬어 퇴근길마다 삐걱삐걱,0
614,그게 자그마치 2년,0
615,입에 단내가 나 미칠 지경,0
616,작업실로 당당하게 내비 찍어,0
617,그러니까 너넨 히비히비합 질러 빽빽,0
618,그러니까 너넨 히비히비합 질러 땍땍,0
619,따라 해 어때 생각보다 쉽지,0
620,서울숲에서부터 근방 직경,0
621,사진 소리 찰칵찰칵 가는 길마다 찍어 찍어,0
622,보험마저 없는 내 미래 비전,0
623,그러니까 너넨 히비히비합 질러 빽빽 (빽빽),0
624,그러니까 너넨 히비히비합 질러 땍땍 (땍땍),0
625,따라 해 어때 생각보다 쉽지,0
626,네가 처음 세상 밖에 나와,0
